id,Branch,gender,Category,articleType,baseColour,season,year,usage,Product DisplayName, Price,Sales,review_score
5502,Da Nang,women,Shoes,Casual Shoes,Black,Summer,2021,Casual,Converse Unisex Neon Print Navy Blue Casual Shoes,131,585,5
5503,Ha Noi,women,Eyewear,Sunglasses,Silver,Winter,2022,Casual,Polaroid Unisex Sunglasses,415,239,3
5504,Ho Chi Minh City,women,Topwear,Shirts,Brown,Fall,2018,Formal,Black Coffee Men Stripes White Shirt,133,309,5
5505,Ha Noi,men,Loungewear and Nightwear,Night suits,Silver,Summer,2018,Casual,SDL by Sweet Dreams Men Black Lounge Set,403,793,5
5506,Ho Chi Minh City,men,Shoes,Sports Shoes,White,Fall,2020,Sports,Nike Air Visi Sleek Shoes,269,584,1
5507,Kontum,women,Shoes,Sports Shoes,Black,Summer,2020,Sports,Nike Men's Mercurial Gli Red Pink Shoe,153,748,5
5508,Ha Noi,women,Topwear,Tops,Silver,Summer,2019,Casual,Jealous 21 Women Pink Top,258,426,5
5509,Kontum,women,Bottomwear,Shorts,Brown,Summer,2019,Casual,United Colors of Benetton Boys Blue Shorts,160,721,3
5510,Ho Chi Minh City,men,Shoes,Heels,Brown,Winter,2022,Casual,Catwalk Women Buckel Blue Flats,199,461,3
5511,Ho Chi Minh City,women,Topwear,Kurtas,Blue,Summer,2019,Ethnic,Fabindia Women Red Kurta,112,720,2
5512,Da Nang,women,Sandal,Sandals,Brown,Fall,2018,Casual,Marvel Boys Black Sandals,107,274,5
5513,Ho Chi Minh City,men,Lips,Lip Liner,Silver,Spring,2020,Casual,Deborah 24 Ore Lip Liner 219,216,169,5
5514,Kontum,women,Wallets,Wallets,Blue,Summer,2018,Casual,Cabarelli Men Black Wallet,474,392,5
5515,Ha Noi,women,Loungewear and Nightwear,Nightdress,Silver,Summer,2019,Casual,Enamor Women Pink Nightdress,464,560,1
5516,Da Nang,men,Topwear,Shirts,Purple,Fall,2022,Casual,Scullers Men Scul Blue Shirts,413,231,1
5517,Ho Chi Minh City,women,Innerwear,Briefs,Purple,Summer,2019,Casual,Enamor Women Blue Mid-Rise Bikini Brief,247,404,1
5518,Kontum,women,Wallets,Wallets,Brown,Winter,2018,Casual,Fossil Women Brown Wallet,441,555,3
5519,Da Nang,women,Topwear,Tshirts,Blue,Fall,2021,Casual,Puma Men GP Buddh Logo Polo Red Tshirts,191,341,4
5520,Kontum,women,Topwear,Tshirts,Brown,Summer,2019,Casual,Probase Men Printed Navy Blue T-shirt,350,304,5
5521,Kontum,men,Shoes,Sports Shoes,Blue,Fall,2020,Sports,Puma Men Future Cat M1 Engine Red Sports Shoes,444,233,5
5522,Kontum,women,Topwear,Tshirts,Black,Fall,2019,Casual,Status Quo Men Grey Polo Tshirts,114,423,2
5523,Kontum,women,Eyewear,Sunglasses,Blue,Winter,2021,Casual,Fastrack Men Black Sunglasses,430,399,2
5524,Kontum,women,Topwear,Kurtas,Silver,Summer,2021,Ethnic,Alma Women Black Printed Kurta,220,120,5
5525,Da Nang,men,Topwear,Shirts,Black,Summer,2021,Casual,Locomotive Men Solid Poplin Laibrook Blue Shirts,169,505,5
5526,Da Nang,women,Topwear,Kurtas,Purple,Fall,2022,Ethnic,Aurelia Women Solid Green Kurtas,262,485,3
5527,Ha Noi,men,Sandal,Sandals,Black,Summer,2021,Casual,Timberland Men City Brown Floater,192,99,3
5528,Da Nang,women,Shoes,Casual Shoes,Brown,Fall,2018,Casual,Skechers Men USA Black Shoe,315,337,1
5529,Ha Noi,men,Shoes,Sports Shoes,White,Fall,2022,Sports,ADIDAS Men Adi Fiero M White Sports Shoes,159,753,5
5530,Da Nang,men,Topwear,Shirts,Brown,Summer,2018,Casual,French Connection Men Brown Check Shirt,475,716,4
5531,Ho Chi Minh City,women,Watches,Watches,White,Winter,2020,Casual,Q&Q Men Pink Dial Watch,335,88,5
5532,Kontum,women,Wallets,Wallets,Blue,Summer,2021,Casual,Hidekraft Men Black Wallet,294,571,2
5533,Ho Chi Minh City,women,Apparel Set,Kurta Sets,Black,Fall,2018,Ethnic,Vishudh Women Green & Purple Printed Churidar Kurta with Dupatta,246,111,1
5534,Ho Chi Minh City,women,Apparel Set,Kurta Sets,Silver,Fall,2021,Ethnic,Biba Women Off-White & Brown Printed Churidar Kurta with Dupatta,335,199,2
5535,Kontum,men,Bottomwear,Jeans,Brown,Summer,2021,Casual,Gini and Jony Boys Jeans Blue Jeans,311,580,1
5536,Ha Noi,men,Innerwear,Bra,Blue,Winter,2021,Casual,Amante White Full-Coverage Bra BFOM12,336,190,5
5537,Da Nang,women,Dress,Dresses,Black,Summer,2022,Casual,Latin Quarters Women Black Printed Dress,466,546,5
5538,Da Nang,men,Shoes,Casual Shoes,Purple,Winter,2021,Casual,Skechers Men's Liquid Roggers Brown Shoe,401,518,3
5539,Da Nang,women,Dress,Dresses,Brown,Fall,2021,Casual,Latin Quarters Women Brown Printed Dress,402,398,5
5540,Kontum,women,Bottomwear,Jeans,White,Fall,2022,Casual,John Players Men Blue Jeans,348,489,1
5541,Da Nang,men,Shoes,Heels,White,Winter,2020,Casual,Carlton London Women Gold Toned Heels,208,276,4
5542,Ha Noi,women,Topwear,Tops,White,Fall,2019,Casual,s.Oliver Women Printed Blue Top,164,566,2
5543,Ha Noi,men,Topwear,Tshirts,Brown,Fall,2018,Casual,Puma Mens Reggae All Night Blues T-shirt,476,653,5
5544,Da Nang,men,Bags,Handbags,Blue,Summer,2018,Casual,Kiara Women Beige Handbag,383,473,5
5545,Ha Noi,women,Topwear,Kurtas,White,Summer,2022,Ethnic,Vishudh Women Grey Printed Kurta,490,620,1
5546,Da Nang,men,Bags,Backpacks,Blue,Fall,2021,Casual,Footloose Unisex Black Mojo Backpack,467,196,1
5547,Ho Chi Minh City,men,Topwear,Tshirts,Purple,Summer,2021,Casual,Superman Boys Off White & Navy Blue T-shirt,352,255,4
5548,Da Nang,women,Sandal,Sandals,Blue,Winter,2021,Casual,Red Chief Men Black Sandals,128,731,5
5549,Ho Chi Minh City,women,Flip Flops,Flip Flops,Silver,Fall,2018,Casual,Warner Bros Kids Unisex SD Nightmare Flop Blue Slippers,189,455,4
5550,Kontum,women,Bags,Handbags,White,Summer,2021,Casual,Nyk Women Pink Abelia Handbag,246,625,2
5551,Kontum,women,Topwear,Shirts,Black,Fall,2019,Casual,United Colors of Benetton Men Solid Grey Shirt,102,629,5
5552,Kontum,women,Topwear,Shirts,Silver,Fall,2021,Formal,Genesis Men Solid Maroon Shirts,411,711,5
5553,Ho Chi Minh City,men,Topwear,Tops,Blue,Fall,2019,Casual,Arrow Woman Boho Brown Top,480,220,5
5554,Da Nang,women,Watches,Watches,White,Winter,2021,Casual,Nautica Men Black Dial Chronograph Watch,357,523,2
5555,Kontum,women,Topwear,Tops,Black,Summer,2021,Casual,Jealous 21 Women Printed White Top,206,269,3
5556,Da Nang,women,Dress,Dresses,Black,Summer,2022,Casual,Tonga Women Cream Dress,253,340,3
5557,Da Nang,men,Topwear,Kurtis,White,Summer,2019,Ethnic,Fabindia Women Purple Kurti,454,519,1
5558,Ho Chi Minh City,men,Shoes,Formal Shoes,Purple,Summer,2019,Formal,Provogue Men's Formal Black Shoe,206,641,2
5559,Da Nang,women,Shoes,Sports Shoes,Purple,Fall,2018,Sports,Puma Women Cell Varex SL White Sports Shoes,255,590,1
5560,Da Nang,women,Eyewear,Sunglasses,Blue,Winter,2022,Casual,United Colors of Benetton Men Black Sunglasses,476,715,5
5561,Kontum,women,Topwear,Tshirts,Purple,Fall,2022,Casual,Puma Men Boot Red T-shirt,486,488,2
5562,Ha Noi,women,Shoes,Sports Shoes,Black,Fall,2019,Sports,ASICS Men Gel DS Sky Speed 2 Running Blue Sports Shoes,309,141,2
5563,Ha Noi,women,Topwear,Tops,Blue,Summer,2022,Casual,s.Oliver Women's Striped Light Blue Top,423,574,1
5564,Ha Noi,women,Shoes,Formal Shoes,Blue,Fall,2018,Formal,Provogue Men Formal Black Formal Shoes,223,298,2
5565,Kontum,men,Flip Flops,Flip Flops,Black,Summer,2021,Casual,U.S. Polo Assn. Men Brown Flip Flops,226,425,5
5566,Da Nang,men,Shoes,Flats,Blue,Summer,2020,Casual,Puma Women Black Mabel Flats,116,589,1
5567,Kontum,women,Topwear,Shirts,Blue,Fall,2018,Formal,Mark Taylor Men Red & White Striped Shirt,330,80,5
5568,Da Nang,women,Shoes,Casual Shoes,Black,Summer,2022,Casual,Playboy Men Orange Casual Shoes,173,333,5
5569,Kontum,women,Topwear,Shirts,White,Fall,2022,Casual,Wrangler Men Adore Grey Shirt,380,733,5
5570,Ha Noi,women,Sandal,Sports Sandals,Purple,Summer,2021,Casual,ADIDAS Men Brown Sandals,166,115,5
5571,Da Nang,women,Topwear,Tshirts,White,Summer,2018,Casual,Gini and Jony Boys Around The World White T-shirt,241,379,5
5572,Da Nang,women,Shoes,Heels,White,Winter,2020,Casual,HM Women Silver Flats,161,280,3
5573,Ho Chi Minh City,women,Shoes,Sports Shoes,Black,Summer,2018,Sports,ADIDAS Women Phantom Low Pink Grey White Shoe,447,108,3
5574,Kontum,women,Topwear,Shirts,Purple,Fall,2022,Casual,Mother Earth Men White Shirt,272,306,1
5575,Kontum,women,Fragrance,Perfume and Body Mist,Purple,Spring,2021,Casual,24 Men Black Classic Natural Spray EDT Perfume,156,317,5
5576,Da Nang,women,Eyewear,Sunglasses,White,Winter,2018,Casual,Miami Blues Men Sunglasses,105,362,1
5577,Da Nang,men,Lips,Lip Gloss,White,Spring,2022,Casual,Colorbar Mettalics Bare Necessity Lip Gloss 001,278,173,5
5578,Kontum,women,Topwear,Tshirts,Brown,Fall,2018,Sports,Nike Men Red Polo Tshirts,226,296,4
5579,Da Nang,men,Sandal,Sandals,Purple,Fall,2018,Casual,Puma Men Hopper Black Sandal,233,567,1
5580,Ha Noi,men,Jewellery,Earrings,Blue,Summer,2021,Casual,Lucera Women Silver Earrings,242,485,5
5581,Kontum,women,Topwear,Tshirts,Brown,Summer,2021,Casual,Probase Men's Player Pink T-shirt,196,710,5
5582,Ha Noi,women,Topwear,Tops,Brown,Fall,2021,Casual,Forever New Women Porcelain White Top,474,459,1
5583,Ho Chi Minh City,women,Innerwear,Briefs,Brown,Summer,2022,Casual,Enamor Women Pack of 2 Briefs,162,515,5
5584,Da Nang,men,Topwear,Shirts,Silver,Summer,2019,Formal,Indigo Nation Men Striped Blue Shirt,398,353,5
5585,Ho Chi Minh City,women,Topwear,Tshirts,Black,Summer,2020,Casual,Wrangler Men's Wild Horse Brown T-shirt,132,268,5
5586,Da Nang,women,Jewellery,Earrings,White,Summer,2019,Casual,Lucera Silver Earrings,166,756,5
5587,Ha Noi,women,Flip Flops,Flip Flops,Black,Winter,2020,Casual,iPanema Women Temas Brown Flip Flops,487,622,4
5588,Da Nang,men,Socks,Socks,Black,Summer,2018,Sports,Playboy Men Pack of 3 Socks,306,147,3
5589,Ho Chi Minh City,men,Topwear,Tops,Black,Summer,2021,Casual,Tokyo Talkies Women Blue Top,435,644,4
5590,Ho Chi Minh City,men,Topwear,Tshirts,Blue,Summer,2021,Casual,Puma Men Green Polo Neck T-shirt,244,306,3
5591,Ho Chi Minh City,men,Topwear,Tshirts,White,Fall,2021,Casual,United Colors of Benetton Women Solid Red T-shirt,177,589,3
5592,Ha Noi,women,Topwear,Tops,Silver,Summer,2022,Casual,Tonga Women Black & Cream-Coloured Striped Top,420,525,5
5593,Ha Noi,men,Topwear,Tunics,Silver,Fall,2019,Casual,Ayaanay_Women_New_2013_Tunics_Size_Chart.jpg,380,489,2
5594,Ha Noi,women,Shoes,Heels,Black,Summer,2020,Casual,Cobblerz Women Pink Sandals,248,621,1
5595,Kontum,men,Bags,Handbags,Purple,Fall,2021,Casual,Hidekraft Women Leather Black Handbags,147,480,3
5596,Ha Noi,men,Loungewear and Nightwear,Nightdress,Purple,Summer,2019,Casual,Avirate Black Babydoll Nightdress,207,448,2
5597,Kontum,men,Topwear,Shirts,Black,Summer,2020,Casual,John Players Men Stripes White Shirt,362,236,5
5598,Ha Noi,men,Bottomwear,Leggings,Black,Fall,2019,Ethnic,Scullers Women Solid Black Leggings,467,732,4
5599,Ho Chi Minh City,women,Shoes,Casual Shoes,Silver,Summer,2019,Casual,Newfeel Unisex Purple White Shoes,211,649,5
5600,Kontum,women,Topwear,Shirts,Brown,Summer,2020,Casual,Locomotive Men Charcoal Stripe Shirt,209,379,4
5601,Da Nang,women,Bags,Handbags,Black,Summer,2019,Casual,Kiara Women Black Handbag,285,450,5
5602,Kontum,men,Topwear,Shirts,Silver,Fall,2018,Casual,Wills Lifestyle Men Check Black Shirt,105,252,4
5603,Kontum,women,Shoes,Casual Shoes,Black,Winter,2020,Casual,Red Tape Black Men's Semi Casual Shoe,399,537,1
5604,Da Nang,women,Topwear,Jackets,Purple,Fall,2021,Casual,ADIDAS Men Adna Blue Jackets,287,175,4
5605,Ho Chi Minh City,men,Topwear,Tshirts,Black,Summer,2021,Casual,French Connection Men White Printed T-shirt,176,687,4
5606,Ho Chi Minh City,men,Topwear,Tshirts,Blue,Fall,2020,Casual,Peter England Men Blue Casual T-shirt,169,495,1
5607,Da Nang,men,Shoes,Heels,Purple,Winter,2021,Casual,Catwalk Women Black Heels,425,203,5
5608,Kontum,men,Shoes,Heels,Black,Summer,2020,Casual,Enroute Women Mustard Flats,268,289,2
5609,Kontum,men,Flip Flops,Flip Flops,Purple,Summer,2021,Casual,Nike Unisex Solarsoft Thong Brown Flip Flop,475,401,1
5610,Ho Chi Minh City,men,Shoes,Flats,Black,Summer,2018,Casual,Puma Women El Rey Slipon Stripes Wns White Flats,124,797,5
5611,Da Nang,women,Free Gifts,Free Gifts,White,Winter,2020,Casual,Giordano Women White Dial Watch,179,83,2
5612,Ha Noi,women,Belts,Belts,Purple,Summer,2021,Casual,French Connection Men Brown Belt,356,517,4
5613,Da Nang,men,Bottomwear,Track Pants,Silver,Fall,2019,Sports,Puma Women Essential Skinny Navy Blue Track Pant,406,371,1
5614,Ha Noi,women,Topwear,Tshirts,Blue,Fall,2018,Casual,Chimp Men Who's your papaji Grey Tshirts,170,641,5
5615,Kontum,women,Shoes,Flats,White,Winter,2018,Casual,Catwalk Women Beige Spectator Shoes,403,100,4
5616,Kontum,men,Ties,Ties,Brown,Summer,2021,Formal,Park Avenue Men Copper Tie,481,393,2
5617,Kontum,men,Eyewear,Sunglasses,White,Winter,2019,Casual,Idee Men Funky Eyewear Brown Sunglasses,323,482,5
5618,Da Nang,women,Topwear,Shirts,Black,Summer,2022,Casual,Indigo Nation Men Printed White Shirt,211,774,4
5619,Ho Chi Minh City,women,Topwear,Tshirts,Brown,Fall,2020,Casual,Doodle Girls's Princess Purple Teen Top,183,587,5
5620,Ha Noi,men,Shoes,Sports Shoes,Silver,Fall,2021,Sports,Puma Men's Basket Biz White & Blue Shoe,143,437,2
5621,Da Nang,women,Topwear,Kurtis,Blue,Summer,2020,Ethnic,Aurelia Women Printed Red Kurti,297,398,1
5622,Ho Chi Minh City,men,Topwear,Tshirts,Silver,Summer,2018,Casual,Femella Women Pale Red Polo T-Shirt,460,98,5
5623,Ha Noi,men,Topwear,Kurtas,White,Summer,2020,Ethnic,Diva Women Black Floral Print Kurti,478,533,1
5624,Kontum,women,Topwear,Tshirts,Purple,Summer,2021,Casual,United Colors of Benetton Men Navy Blue Printed T-shirt,463,286,5
5625,Ha Noi,women,Bags,Handbags,Brown,Winter,2022,Casual,Baggit Women Galaxy Taj Purple Handbag,329,198,3
5626,Ha Noi,men,Watches,Watches,Brown,Winter,2018,Casual,Citizen Women Black Dial Watch,495,679,1
5627,Ho Chi Minh City,women,Saree,Sarees,Silver,Fall,2018,Ethnic,FNF Printed Red Sari,486,767,2
5628,Da Nang,women,Eyes,Kajal and Eyeliner,Brown,Spring,2021,Casual,Streetwear Stay On Emerald Eye Pencil 01,281,749,5
5629,Ho Chi Minh City,women,Topwear,Tshirts,Black,Summer,2021,Casual,Puma Men Green T-shirt,285,114,2
5630,Kontum,women,Flip Flops,Flip Flops,Black,Summer,2020,Casual,Playboy Men Grey Flip Flops,486,768,4
5631,Da Nang,women,Topwear,Tshirts,Brown,Summer,2018,Casual,Wrangler Women's Sequin Butter Cup T-shirt,274,702,2
5632,Kontum,women,Bags,Handbags,Brown,Summer,2021,Casual,Lino Perros Women Leatherette Off White Handbag,477,714,3
5633,Da Nang,women,Shoes,Heels,Black,Winter,2018,Casual,Catwalk Women Gold Heels,482,746,3
5634,Ha Noi,men,Topwear,Shirts,Silver,Summer,2019,Casual,Locomotive Men Green Black White Checked Shirt,200,689,5
5635,Ha Noi,women,Skin,Face Moisturisers,Brown,Spring,2020,Casual,Lotus Herbals Whiteglow Skin Micro-Emulsion,470,403,2
5636,Kontum,women,Topwear,Dupatta,Brown,Summer,2021,Ethnic,Fabindia Green Dupatta,485,720,5
5637,Da Nang,women,Bottomwear,Track Pants,Purple,Summer,2020,Sports,Urban Yoga Women Summer Bottoms Navy Blue Track Pants,200,197,4
5638,Da Nang,men,Belts,Belts,Purple,Summer,2022,Formal,Reid & Taylor Men Black & Brown Reversible Belt,363,201,3
5639,Ho Chi Minh City,women,Shoes,Casual Shoes,Black,Summer,2022,Casual,Woodland Men Brown Shoes,380,588,2
5640,Ha Noi,women,Topwear,Tunics,White,Summer,2020,Casual,Sepia Women Beige Tunic,431,535,3
5641,Da Nang,women,Topwear,Shirts,Purple,Fall,2022,Casual,United Colors of Benetton Men Check Blue Shirt,243,683,2
5642,Ho Chi Minh City,men,Bottomwear,Shorts,Black,Summer,2021,Casual,Doodle Girls Washed Black Shorts,406,143,2
5643,Ho Chi Minh City,men,Topwear,Tshirts,Blue,Summer,2019,Casual,Nike Men Icon Black T-shirt,389,654,1
5644,Ho Chi Minh City,women,Shoes,Casual Shoes,White,Summer,2021,Casual,Puma Men White 3.0 Mid Shoes,101,547,1
5645,Da Nang,women,Watches,Watches,Brown,Winter,2019,Casual,Giordano Women Chronograph Blue Dial Watch,175,783,2
5646,Ha Noi,women,Flip Flops,Flip Flops,Purple,Fall,2022,Casual,Crocs Patricia Women Black Sandal,495,631,2
5647,Kontum,women,Watches,Watches,Silver,Summer,2022,Casual,Timex Women Pearly White Dial Watch,341,162,3
5648,Ho Chi Minh City,women,Nails,Nail Polish,Blue,Spring,2018,Casual,Colorbar Top Coat Nail Lacquer 69,134,641,5
5649,Ho Chi Minh City,women,Bags,Clutches,Purple,Summer,2020,Casual,Baggit Women Teal Purse,366,108,3
5650,Ha Noi,men,Topwear,Tops,Brown,Summer,2018,Casual,Vero Moda Women Viva Yellow Top,361,702,5
5651,Ha Noi,women,Topwear,Tshirts,Blue,Fall,2019,Casual,United Colors of Benetton Men Light Winter Red Tshirts,372,282,5
5652,Kontum,men,Flip Flops,Flip Flops,Black,Fall,2018,Casual,Warner Bros Kids Girls TW Flower Flops Pink Slippers,443,218,1
5653,Da Nang,men,Shoes,Formal Shoes,Purple,Winter,2018,Formal,Red Chief Men Black Formal Shoes,427,696,3
5654,Ha Noi,men,Topwear,Tops,Blue,Summer,2018,Casual,Wrangler Women Red Rosy Top,393,463,5
5655,Ho Chi Minh City,men,Lips,Lipstick,Black,Spring,2018,Casual,Deborah Beige Couture 18 Atomic Red Lipstick,157,479,4
5656,Ha Noi,men,Topwear,Tshirts,Blue,Fall,2019,Casual,United Colors of Benetton Men Black T-shirt,331,644,1
5657,Ha Noi,men,Bags,Handbags,Black,Summer,2022,Casual,Lino Perros Women Brown Handbag,415,570,3
5658,Ha Noi,men,Saree,Sarees,Brown,Fall,2021,Ethnic,Fabindia Beige Hand Printed Sari,483,771,2
5659,Ha Noi,men,Watches,Watches,Black,Winter,2021,Casual,Titan Men Chronograph White Dial Watch,219,582,5
5660,Ha Noi,men,Topwear,Tops,White,Summer,2018,Casual,Jealous 21 Women Printed Mauve Top,262,679,1
5661,Da Nang,women,Innerwear,Trunk,Black,Summer,2020,Casual,Jockey Sport Performance  Men Black Trunks SP04,336,220,1
5662,Kontum,women,Innerwear,Bra,Blue,Winter,2022,Casual,Hanes Women Nude Concealing Petals Wirefree Moulded Bra,299,751,5
5663,Kontum,men,Innerwear,Briefs,Black,Summer,2019,Casual,Jockey MC Men Pack Of 2Briefs 8003,364,569,4
5664,Ho Chi Minh City,women,Bottomwear,Shorts,Blue,Fall,2018,Sports,Proline Men Black Comfort Fit Sports Shorts,251,778,5
5665,Ho Chi Minh City,women,Topwear,Tshirts,Purple,Summer,2018,Casual,Quiksilver Men Printed Grey T-shirt,328,199,2
5666,Ha Noi,men,Watches,Watches,Blue,Winter,2019,Casual,DKNY Women Black Dial Watch NY4620,468,161,5
5667,Kontum,women,Socks,Socks,Black,Fall,2018,Casual,Puma Women Blue Pair of 2 Socks,499,118,1
5668,Ho Chi Minh City,women,Topwear,Tshirts,Blue,Fall,2021,Casual,Tantra Men After The Fight Black T-shirt,428,248,4
5669,Ho Chi Minh City,men,Topwear,Shirts,Blue,Summer,2020,Casual,s.Oliver Men White & Blue Check Shirt,153,239,4
5670,Da Nang,women,Shoes,Sports Shoes,Purple,Fall,2019,Sports,Fila Men Sports White Shoes,492,276,4
5671,Kontum,men,Topwear,Tops,Brown,Summer,2019,Casual,United Colors of Benetton Women Printed White Tops,132,743,2
5672,Ha Noi,women,Dress,Jumpsuit,Blue,Summer,2021,Casual,United Colors of Benetton Women Brown Jumpsuit,492,254,5
5673,Kontum,women,Shoes,Heels,Purple,Winter,2018,Casual,Catwalk Women Casual Gold Flats,346,144,3
5674,Da Nang,men,Bottomwear,Shorts,Silver,Summer,2018,Casual,Gini and Jony Boys Beach White Shorts,103,788,3
5675,Ho Chi Minh City,men,Belts,Belts,Purple,Summer,2018,Casual,OTLS Men Brown Leather Belt,465,523,4
5676,Ha Noi,women,Topwear,Tshirts,Blue,Summer,2019,Casual,ADIDAS Men Grey T-shirt,155,279,5
5677,Ha Noi,women,Flip Flops,Flip Flops,Silver,Fall,2021,Casual,ADIDAS Women Spring Black Flip Flops,465,731,1
5678,Kontum,men,Eyewear,Sunglasses,Brown,Winter,2018,Casual,Miami Blues Women Sunglasses,213,176,3
5679,Kontum,men,Dress,Dresses,Silver,Fall,2021,Party,Avirate Black & Silvery Grey Dress,323,346,3
5680,Ho Chi Minh City,women,Topwear,Kurtas,Brown,Fall,2021,Ethnic,BIBA Women Printed Purple Kurta,402,172,5
5681,Da Nang,women,Topwear,Kurtas,White,Summer,2020,Ethnic,Vishudh Women Purple Kurta,417,348,1
5682,Ho Chi Minh City,men,Bags,Handbags,Black,Summer,2022,Casual,Kiara Women Charcoal Handbag,407,402,2
5683,Kontum,women,Topwear,Shirts,Blue,Summer,2022,Casual,Wills Lifestyle Men Check Maroon Shirt,164,143,5
5684,Kontum,men,Dress,Dresses,Purple,Summer,2021,Casual,French Connection Black Dress,335,782,1
5685,Ho Chi Minh City,women,Bottomwear,Track Pants,White,Summer,2020,Casual,Nike Women Navy Blue Track Pant,448,287,5
5686,Ho Chi Minh City,women,Eyewear,Sunglasses,Brown,Winter,2021,Casual,Opium Men Aviator Blue Sunglasses,334,199,5
5687,Kontum,men,Topwear,Tshirts,Purple,Summer,2020,Casual,Guerrilla Men's Luchador Coffee T-shirt,176,201,2
5688,Ho Chi Minh City,women,Topwear,Tshirts,Purple,Summer,2018,Casual,Mr. Men Grey T-shirt,136,726,2
5689,Ho Chi Minh City,women,Topwear,Tshirts,Silver,Fall,2019,Casual,Probase Men Printed Green Tshirts,478,713,1
5690,Kontum,women,Bags,Handbags,Silver,Summer,2018,Casual,Baggit Women Black Handbag,153,104,4
5691,Ha Noi,men,Topwear,Tshirts,Purple,Summer,2019,Casual,UCB Women's Epaulettes On Sleeve Pink T-shirt,164,201,5
5692,Da Nang,women,Topwear,Tshirts,Silver,Fall,2022,Casual,Mark Taylor Men Black Printed T-shirt,173,649,2
5693,Ha Noi,men,Innerwear,Innerwear Vests,Blue,Summer,2020,Casual,Chromozome Men White Innerwear Vest,152,425,2
5694,Ho Chi Minh City,men,Watches,Watches,Silver,Winter,2022,Casual,Fastrack Women Brown Watch,445,658,2
5695,Ho Chi Minh City,women,Topwear,Tshirts,Brown,Fall,2020,Casual,Peter England Men Printed White TShirt,438,694,2
5696,Ha Noi,women,Stoles,Stoles,Silver,Summer,2022,Ethnic,Fabindia Women Printed Beige & Black Stole,412,427,5
5697,Ha Noi,women,Shoes,Heels,White,Summer,2022,Casual,Cobblerz Women Brown Sandals,491,680,1
5698,Ha Noi,men,Topwear,Tshirts,Brown,Summer,2020,Casual,Myntra Men's Eagle Emblem Yellow T-shirt,348,791,5
5699,Kontum,men,Shoes,Sports Shoes,White,Fall,2022,Sports,FILA Men FILA Boston White Sports Shoes,198,176,5
5700,Da Nang,men,Innerwear,Shapewear,Silver,Summer,2021,Casual,Avirate Beige Wired Corset Shapewear,223,154,1
5701,Ha Noi,men,Topwear,Tshirts,White,Summer,2021,Casual,Mickey Men's Donald Jumps Bring It On Navy T-shirt,112,342,3
5702,Kontum,women,Bags,Handbags,Purple,Summer,2021,Casual,Lino Perros Women Small Brown Handbag,219,338,2
5703,Kontum,women,Topwear,Kurtas,Black,Summer,2020,Ethnic,Fabindia Women Striped Blue Kurta,357,761,2
5704,Da Nang,women,Topwear,Kurtas,Black,Summer,2021,Ethnic,Span Women Green Kurta,496,325,4
5705,Ha Noi,women,Shoes,Casual Shoes,Purple,Fall,2018,Casual,United Colors Of Benetton Men Latnam Black Casual Shoes,465,500,4
5706,Ha Noi,women,Topwear,Tshirts,Blue,Fall,2018,Sports,ADIDAS Men White T-shirt,465,511,5
5707,Ha Noi,women,Topwear,Tshirts,Black,Fall,2022,Casual,Locomotive Men Printed Red T-shirt,207,404,1
5708,Kontum,women,Topwear,Tshirts,Purple,Fall,2021,Casual,Nike Men AS AD Club Pique Polo Navy Blue Tshirts,442,579,2
5709,Kontum,women,Watches,Watches,Silver,Winter,2018,Casual,CASIO ENTICER Women Black Dial Analogue Watch A443,401,294,5
5710,Da Nang,women,Topwear,Tshirts,Silver,Summer,2021,Casual,Jealous 21 Women's I am Cute When I am Angry Red T-shirt,378,773,2
5711,Ha Noi,women,Innerwear,Innerwear Vests,White,Summer,2022,Casual,Madagascar3 Pink Girls Innerwear Vest,353,438,3
5712,Ho Chi Minh City,women,Fragrance,Deodorant,Brown,Spring,2018,Casual,BOSS Men Grey Deo,490,386,2
5713,Ha Noi,women,Saree,Sarees,Blue,Fall,2021,Ethnic,FNF Beige Sari,272,553,5
5714,Da Nang,men,Bottomwear,Jeans,White,Spring,2018,Casual,Wrangler Men Blue Floyd Jeans,134,321,5
5715,Da Nang,women,Lips,Lip Gloss,Blue,Spring,2020,Casual,Streetwear Mineral Coral Glow Lip Gloss,218,389,1
5716,Kontum,women,Shoes,Casual Shoes,Silver,Summer,2018,Casual,ID Men White & Blue Casual Shoes,464,234,5
5717,Ha Noi,women,Topwear,Tshirts,Blue,Fall,2018,Casual,United Colors of Benetton Women Printed Purple Tshirts,418,264,2
5718,Ha Noi,women,Topwear,Kurtis,Black,Fall,2022,Ethnic,Aurelia Women Printed Green Kurti,461,424,4
5719,Ha Noi,women,Topwear,Tops,White,Summer,2020,Casual,Tonga Women Black & White Printed Top,272,546,5
5720,Kontum,women,Topwear,Tshirts,Purple,Fall,2021,Sports,Adidas Men Stripe Polo Shirt,496,570,3
5721,Kontum,women,Topwear,Nehru Jackets,Brown,Summer,2020,Ethnic,Fabindia Men Brown Silk Sleeveless Jacket,485,172,4
5722,Da Nang,women,Wallets,Wallets,White,Fall,2021,Casual,Reid & Taylor Men Solid Black Wallets,233,733,5
5723,Da Nang,men,Shoes,Sports Shoes,Black,Summer,2019,Sports,Puma Women Bodytrain Purple Sports Shoes,117,357,5
